Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Viens Esprit Saint descends sur nous - Communauté du Chemin neuf	Viens, Esprit Saint descends sur nous	 Viens, Esprit Saint descends sur nous, Comble-nous de ton amour, Que rayonne ta bonté !  Viens, Envoyé du Dieu Très-Haut, Viens et fortifie nos corps, Et fais de nous ta demeure.	R/ Viens et embrase nos vies, Viens briller dans nos nuits, Toi le consolateur. (A toi nos louanges)  Viens Esprit de vérité, Viens purifier nos cœurs, Viens nous renouveler. (A toi nos louanges)						Viens, Esprit Saint descends sur nous
Vient Esprit de Sainté									
Vierge sainte, Dieu t'a choisie	Vierge sainte, Dieu t'a choisie	1. Vierge Sainte, Dieu t'a choisie, Depuis toute éternité, Pour nous donner son Fils bien-aimé, Pleine de grâce, nous t'acclamons.	R/ Ave ! Ave ! Ave Maria ! Ave ! Ave ! Ave Maria !		2. Par ta foi et par ton amour, Ô Servante du Seigneur ! Tu participes à l'oeuvre de Dieu, Pleine de grâce, nous te louons.	3. En donnant aux hommes, ton Fils, Mère riche de bonté, Tu fais la joie de ton Créateur, Pleine de grâce, nous t'acclamons.	4. Ô Marie, Refuge très sûr Pour les hommes, tes enfants, Tu nous comprends et veilles sur nous, Pleine de grâce nous te louons.		
Vive Dieu	Vive Dieu		R/ Vive Dieu (X3)	1. Vive Dieu par notre terre					
 Vive Dieu du haut des cieux									
 Par la nuit et la lumière									
 Vive Dieu car il est Dieu									
 Vive Dieu par les déserts									
 Par les monts et les rivières									
 Vive Dieu, car il est Dieu !									
 Vive Dieu par ses témoins									
 Par les saints de notre histoire									
 Vive Dieu, car il est Dieu !									
Vivons en enfants de lumière	Vivons en enfants de lumière	1. L'heure est venue de l'exode nouveau ! Voici le temps de renaître d'en-haut ! Quarante jours avant la Pâque, Vous commencez l'ultime étape.	R/ VIVONS EN ENFANTS DE LUMIERE SUR LES CHEMINS OÙ L'ESPRIT NOUS CONDUIT : QUE VIVE EN NOUS LE NOM DU PERE !		2. L'heure est venue de sortir du sommeil !				
 Voici le temps de l'appel au désert !									
 Allez où va le Fils de l'homme.									
 La joie de Dieu sur lui repose.									
 Voici le temps d'affronter l'Ennemi !									
 N'ayez pas peur face aux ténèbres.									
 A l'horizon la croix se dresse.									
Voici ce cœur (St Jean Eudes)	Voici ce coeur (St Jean Eudes)		R/ Voici ce cœur, Qui a tant aimé les hommes. Voici ce cœur, Qui s’est livré pour le monde. Voici ce cœur, qui a soif de toi.	1. Jésus, Dieu de ma vie, que ton amour Est admirable pour moi. Tu m’aimes, tu me désires, me cherches, Comme si j’étais nécessaire. Tu me désires comme un véritable trésor.	2. Tu cherches mon amitié Pour en faire ton bonheur. Seigneur, pourrais-tu en faire Davantage pour moi ? Ô bonté, je me perds dans l’infini de ton amour.	3. Que répondre à ces voix qui m’invitent à t’aimer ? + Je veux que toutes mes pensées, mes paroles et actions, Tous les instants de ma vie Et même tous mes péchés se transforment En autant de voix qui disent éternellement : « Mon Seigneur Jésus, je t’aime ».	4. Seigneur Jésus, mon Sauveur, je te bénis Et t’adore de toute mon âme. Je choisis aujourd’hui ton divin cœur Et celui de ta sainte Mère Comme roi et refuge de mon cœur.  5. Je t’offre mon amour. Je désire que toutes mes pensées, Mes paroles et mes actions Soient en tout des actes de louange Et d’adoration pour ton cœur.  6. Reçois-moi, Seigneur très bon, Au nombre de tes serviteurs, Des enfants de ton cœur, De celui de ta mère Qui n’est qu’un avec le tien.  7. Dispose de moi et de tout ce qui m’appartient Selon ton bon plaisir. De mon côté, ô Jésus, je prends la résolution de t’aimer Et d’honorer ton sacré Cœur en imitant son humilité Et son ardent amour pour le prochain.  8. Père des miséricordes, Imprime toi-même ces vertus Dans le cœur de ton enfant, Pour t’aimer et te glorifier Pour l’éternité.		
Voici ce que nous portons devant toi	Voici ce que nous portons devant toi	1. Voici ce que nous portons devant toi, ô Seigneur  Ce sont les fruits de tous nos efforts, o Seigneur	R/ Reçois-les, reçois-les, Seigneur Bénis-les et bénis nous		2. Tout ce qui vit dans les cieux, qui vit sur terre et dans les eaux Nous le savons, Dieu tout puissant, c’est toi qui en es le créateur	3. Nos mains ouvertes devant, nous t’offrons notre humble vie Fais-en Seigneur ce que tu veux.			
Voici le Corps et le Sang du Seigneur	Voici le Corps et le Sang du Seigneur		R/ Voici le Corps et le Sang du Seigneur, la coupe du salut et le pain de la vie. Dieu immortel se donne en nourriture pour que nous ayons la vie éternelle	1. Au moment de passer vers le Père le Seigneur prit du pain et du vin, pour que soit accompli le mystère qui apaise à jamais notre faim.	2. Dieu se livre lui-même en partage, par amour pour son peuple affamé. Il nous comble de son héritage afin que nous soyons rassasiés.	3. C'est la foi qui nous fait reconnaître, dans ce pain et ce vin consacrés, la présence de Dieu notre maître le Seigneur Jésus ressuscité.	4. Que nos langues sans cesse proclament, la merveille que Dieu fait pour nous. Aujourd'hui il allume une flamme, afin que nous l'aimions jusqu'au bout.		
Voici qu'apparut dans le ciel un signe merveilleux	Voici qu'apparut dans le ciel un signe merveilleux		R/Voici qu'apparut dans le ciel un signe merveilleux : Une femme vêtue de soleil, et la lune sous ses pieds, Et sur sa tête une couronne de douze étoiles.	1. Elle gémit dans les douleurs de l'enfantement. Elle enfanta un Fils qui doit paître toutes les nations. Et son enfant fut emporté jusqu'au ciel.	2. Et j'entendis du haut du ciel une voix : « Voici la royauté, la puissance de notre Seigneur ! » Seigneur, que toute voix chante la Mère et l'Enfant.				Voici qu'apparut dans le ciel un signe merveilleux
Voici que l'ange Gabriel	Voici que l’ange Gabriel		R/ Voici que l’ange Gabriel, Devant la Vierge est apparu. De toi va naître un enfant Dieu, Et tu l’appelleras Jésus.	1. De mon Seigneur j’ai tout reçu, Je l’ai servi jusqu’à ce jour, Qu’il fasse en moi sa volonté, Je m’abandonne à son amour. R/	2. Et Dieu se fit petit enfant, La Vierge lui donna son corps. Il connut tout de notre vie, Nos humbles joies et notre mort ! R/	R/ Voici que l’ange Gabriel, Devant la Vierge est apparu. De toi va naître un enfant Dieu, Et tu l’appelleras Jésus.  (CODA) Et son nom est Emmanuel !			
Vous tous qui avez été baptisés en Christ	Vous tous qui avez été baptisés en Christ		R/ Vous tous qui avez été baptisés en Christ, vous avez revêtu le Christ, Alléluia!	1. Le Seigneur a aimé l’Église et s’est livré pour Elle. Il l’a sanctifiée par le bain d’eau, qu’une parole accompagne.	2. Nous avons été ensevelis avec le Christ, par le baptême dans sa mort, et Dieu nous a fait revivre en nous ressuscitant avec Lui.	3. Nous avons été baptisés dans un même Esprit, et tous nous avons été désaltérés par cet unique Esprit.	4. Gloire au Père, au Fils, au Saint Esprit, Comme il était au commencement, Maintenant et toujours Dans les siècles des siècles. Amen.		
